id,code,accounting_id,name,initial_balance,final_balance,debit_movement,credit_movement,third_party_type_id,third_party_id,year,month
233,4.11801,411801,Servicios,0.0,470000.0,0.0,470000.0,Contact,80,2024,2
234,4.11801,411801,Servicios,0.0,309000.0,0.0,309000.0,Contact,138,2024,2
235,4.11801,411801,Servicios,0.0,5200000.0,0.0,5200000.0,Contact,142,2024,2
236,4.11801,411801,Servicios,0.0,5250000.0,0.0,5250000.0,Contact,145,2024,2
237,6.10798,610798,Costo de ventas Comercio Al Por Mayor Y Al Por Menor,0.0,20000.0,20000.0,0.0,Contact,1,2024,2
238,6.10798,610798,Costo de ventas Comercio Al Por Mayor Y Al Por Menor,0.0,55769.230769,55769.230769,0.0,Contact,13,2024,2
239,6.10798,610798,Costo de ventas Comercio Al Por Mayor Y Al Por Menor,0.0,122121.0,122121.0,0.0,Contact,34,2024,2
240,6.10798,610798,Costo de ventas Comercio Al Por Mayor Y Al Por Menor,0.0,50000.0,50000.0,0.0,Contact,80,2024,2
241,6.10798,610798,Costo de ventas Comercio Al Por Mayor Y Al Por Menor,0.0,428621.0,428621.0,0.0,Contact,138,2024,2
242,6.10798,610798,Costo de ventas Comercio Al Por Mayor Y Al Por Menor,0.0,212501.0,212501.0,0.0,Contact,142,2024,2
243,6.10798,610798,Costo de ventas Comercio Al Por Mayor Y Al Por Menor,0.0,210000.0,210000.0,0.0,Contact,145,2024,2
244,6.10799,610799,Servicios,0.0,1.0,1.0,0.0,Contact,34,2024,2
245,6.10799,610799,Servicios,0.0,5352002.0,5352002.0,0.0,Contact,42,2024,2
246,6.10799,610799,Servicios,0.0,470000.0,470000.0,0.0,Contact,80,2024,2
247,6.10799,610799,Servicios,0.0,309000.0,309000.0,0.0,Contact,138,2024,2
248,6.10799,610799,Servicios,0.0,5100001.0,5100001.0,0.0,Contact,142,2024,2
249,6.10799,610799,Servicios,0.0,5100001.0,5100001.0,0.0,Contact,145,2024,2
250,1.0,1,Activo,-45000.0,0.0,70150442.87,70150442.87,Contact,1,2024,3
251,1.0,1,Activo,3550000.0,21566219.217778,22211979.204393,645759.986615,Contact,1,2024,3
252,1.0,1,Activo,27818.0,39948187.786321,62081632.72,22133444.933679,Contact,34,2024,3
253,1.0,1,Activo,197499.0,-422881665.464664,18142373.609385,441024039.074049,Contact,42,2024,3
254,1.0,1,Activo,0.0,0.0,258500.0,258500.0,Contact,60,2024,3
255,1.0,1,Activo,0.0,-4485.074627,508500.0,512985.074627,Contact,60,2024,3
256,1.0,1,Activo,450000.0,6340000.0,6340000.0,0.0,Contact,71,2024,3
257,1.0,1,Activo,9500.0,59759.0,598162.525641,538403.525641,Contact,80,2024,3
258,1.0,1,Activo,0.0,0.0,250000.0,250000.0,Contact,83,2024,3
259,1.0,1,Activo,0.0,1949136.459966,2459235.0,510098.540034,Contact,83,2024,3
260,1.0,1,Activo,0.0,2118335.95607,2790550.0,672214.04393,Contact,89,2024,3
261,1.0,1,Activo,0.0,10060000.0,10060000.0,0.0,Contact,101,2024,3
262,1.0,1,Activo,2423000.0,2432000.0,2432000.0,0.0,Contact,105,2024,3
263,1.0,1,Activo,0.0,3860200.0,3860200.0,0.0,Contact,106,2024,3
264,1.0,1,Activo,122124.0,11449482.5,13846440.0,2396957.5,Contact,117,2024,3
265,1.0,1,Activo,-269884.58,2511716.997573,8298214.335641,5786497.338068,Contact,138,2024,3
266,1.0,1,Activo,281943.0,27402936.666829,47558405.0,20155468.333171,Contact,142,2024,3
267,1.0,1,Activo,0.0,0.0,108000.0,108000.0,Contact,145,2024,3
268,1.0,1,Activo,1886099.0,6169000.0,9852000.0,3683000.0,Contact,145,2024,3
269,1.0,1,Activo,0.0,0.0,2579113.941177,2579113.941177,Contact,228,2024,3
